service,usage_description,unit,quantity_per_month,unit_price_usd,monthly_cost_usd,status,notes
Lambda,7 functions x 100 runs/day x 30 days x ~2s each,GB-seconds,302400,0.0000166667,5.04,Estimated,256MB x 2s x 604800 invocations
Lambda,Free tier allowance,GB-seconds,-400000,0.0000166667,-6.67,Estimated,First 400000 GB-s free per month
Lambda,Net Lambda cost after free tier,GB-seconds,0,0,0.00,Estimated,Covered by free tier at this scale
Step Functions,100 runs/day x 30 days x 6 transitions,state transitions,18000,0.000025,0.45,Estimated,Standard workflow pricing
Step Functions,Free tier (4000 transitions/month),state transitions,-4000,0.000025,-0.10,Estimated,First 4000 free
Step Functions,Net Step Functions cost,state transitions,14000,0.000025,0.35,Estimated,
DynamoDB,100 runs x 1000 records x 2 writes (run + result),write request units,200000,0.00000125,0.25,Estimated,On-demand pricing
DynamoDB,Status API reads (3000/month),read request units,3000,0.00000025,0.00,Estimated,Negligible
S3,Input files (100 runs x 1MB avg),GB storage,0.1,0.023,0.00,Estimated,Negligible
S3,Output files (valid + rejected),GB storage,0.2,0.023,0.00,Estimated,Negligible
S3,GET/PUT requests,requests,200000,0.000005,1.00,Estimated,100 runs x ~2000 S3 ops
API Gateway,Status endpoint calls (3000/month),requests,3000,0.000001,0.00,Estimated,HTTP API pricing
CloudWatch,Basic log ingestion,GB,1,0.50,0.50,Estimated,Lambda logs
TOTAL,,,,,2.10,Estimated,At 100 runs/day with 1000 records/run
TOTAL_FREE_TIER_ADJUSTED,,,,,0.35,Estimated,After free tier credits for new accounts
TOTAL_SCALE_10K_RECORDS,,,,,3.50,Estimated,Same run count but 10000 records/run
TOTAL_SCALE_50K_RECORDS,,,,,12.00,Estimated,Same run count but 50000 records/run
